Date,Product ID,Energy Used (kWh/year),Product Lifespan (years),CO2 Emissions from Product Use (kg CO2),Recycling Rate (%)
01-03-2025,E+H001,120,5,600,70
02-03-2025,E+H002,150,7,1050,80
03-03-2025,E+H003,100,6,600,75
04-03-2025,E+H004,130,8,1040,85
05-03-2025,E+H005,110,5,550,70
06-03-2025,E+H006,140,7,980,78
07-03-2025,E+H007,120,6,720,80
08-03-2025,E+H008,115,6,690,76
09-03-2025,E+H009,135,8,1080,82
10-03-2025,E+H010,125,5,625,74
11-03-2025,E+H001,120,5,600,70
12-03-2025,E+H002,150,7,1050,80
13-03-2025,E+H003,100,6,600,75
14-03-2025,E+H004,130,8,1040,85
15-03-2025,E+H005,110,5,550,70
16-03-2025,E+H006,140,7,980,78
17-03-2025,E+H007,120,6,720,80
18-03-2025,E+H008,115,6,690,76
19-03-2025,E+H009,135,8,1080,82
20-03-2025,E+H010,125,5,625,74
21-03-2025,E+H001,120,5,600,70
22-03-2025,E+H002,150,7,1050,80
23-03-2025,E+H003,100,6,600,75
24-03-2025,E+H004,130,8,1040,85
25-03-2025,E+H005,110,5,550,70
26-03-2025,E+H006,140,7,980,78
27-03-2025,E+H007,120,6,720,80
28-03-2025,E+H008,115,6,690,76
29-03-2025,E+H009,135,8,1080,82
30-03-2025,E+H010,125,5,625,74
31-03-2025,E+H001,120,5,600,70
